n_assets,hedge_steps,hedge_label,days_per_hedge_step,repeat_id,strike,avg_stress_fraction,hedger,initial_price,mean_pnl,std_pnl,q05_pnl,q01_pnl
3,4,Quarterly,63,3,101.66666666666667,0.28958333333333336,constant,8.312518742317556,-0.3379248982401549,2.7723970690097888,-5.108960964563492,-7.482449631327927
3,4,Quarterly,63,3,101.66666666666667,0.28958333333333336,regime,8.657973972350169,0.05171861782235572,2.7296119548110993,-4.491109556745361,-6.352979605732388
3,4,Quarterly,63,4,101.66666666666667,0.2916666666666667,constant,8.400549072752208,-0.3603114439757041,2.9842166361695877,-6.275264556777191,-7.849159524432728
3,4,Quarterly,63,4,101.66666666666667,0.2916666666666667,regime,8.451704618955713,-0.30110242549158706,3.0009589421773426,-5.332545867935816,-7.0535226443235155
4,12,Monthly,21,0,102.5,0.34930555555555554,constant,7.913025744673474,-0.6069218127300343,2.073944352709486,-3.9229015753876233,-6.419009470530992
4,12,Monthly,21,0,102.5,0.34930555555555554,regime,8.17820338622101,-0.37096067113442727,2.0474500624162753,-3.8262173592195583,-6.0113443858029365
4,12,Monthly,21,1,102.5,0.34444444444444444,constant,7.701994379759969,-0.3999302330521243,1.5957243235728178,-2.9014860616158247,-4.027883502154897
4,12,Monthly,21,1,102.5,0.34444444444444444,regime,8.315403032530611,0.2625084446076878,1.5656026942253018,-2.168784336919957,-2.8563090376203384
4,12,Monthly,21,2,102.5,0.36666666666666664,constant,7.820908576125324,-0.7258348476663862,1.7684499954762902,-3.8798027616383357,-4.837764364693618
4,12,Monthly,21,2,102.5,0.36666666666666664,regime,8.522030372000438,0.03388819762390591,1.7407798906042273,-2.7131438847111533,-4.180958921927016
4,12,Monthly,21,3,102.5,0.3548611111111111,constant,7.792056000589977,-0.5885068201246558,1.8213350368504493,-3.4550070958956147,-5.212388474814065
4,12,Monthly,21,3,102.5,0.3548611111111111,regime,8.2454971064851,-0.20244564455952527,1.7905937734307618,-2.9784443152763735,-4.584133657616646
4,12,Monthly,21,4,102.5,0.37222222222222223,constant,7.778600271323535,-0.3883340260934024,1.9322308189753694,-3.3672851013204754,-5.149658183797904
4,12,Monthly,21,4,102.5,0.37222222222222223,regime,8.110330277509917,-0.05737969802288102,1.8593069987773332,-3.16419472741928,-3.9455588222704225
4,4,Quarterly,63,0,102.5,0.2875,constant,7.619961163096937,-0.6183592705930593,2.824109239208216,-5.766683968887101,-8.835916900804023
4,4,Quarterly,63,0,102.5,0.2875,regime,8.139909834853217,-0.10643235845428832,2.8790648135844696,-4.820118061283695,-10.489417721659938
4,4,Quarterly,63,1,102.5,0.29791666666666666,constant,7.499094891159075,-0.45619392555194277,2.9656084080499667,-4.9899060657638845,-11.82538531505855
4,4,Quarterly,63,1,102.5,0.29791666666666666,regime,8.206974669682875,0.20463945772367395,3.060934837032321,-4.48828464761486,-11.573605509889555
4,4,Quarterly,63,2,102.5,0.31875,constant,7.7324507997923755,-0.5084437589305503,3.1433765060428414,-6.362316053448572,-9.567415175254213
4,4,Quarterly,63,2,102.5,0.31875,regime,8.078670372017283,-0.1413588948731789,3.0873967120737498,-4.744501658437339,-8.056061366222288
4,4,Quarterly,63,3,102.5,0.32916666666666666,constant,7.982059599686459,-0.5371859775872746,3.2091352979537944,-6.380397468922881,-10.912913927075314
4,4,Quarterly,63,3,102.5,0.32916666666666666,regime,8.186790350776947,-0.29319511894493355,3.093852326867991,-5.79801471291819,-10.410332686498219
4,4,Quarterly,63,4,102.5,0.31666666666666665,constant,7.732874780484169,-0.5530097848774814,2.9921762910261607,-5.7216674533406815,-9.842992735508014
4,4,Quarterly,63,4,102.5,0.31666666666666665,regime,7.964083287599852,-0.28972879426191633,3.0280858691891246,-5.184429437238715,-9.098589616102432
5,12,Monthly,21,0,100.0,0.3736111111111111,constant,7.4270132098701795,-0.9866308827641755,2.3706355309953424,-6.034018796311407,-8.498221141393458
5,12,Monthly,21,0,100.0,0.3736111111111111,regime,8.155516140501545,-0.1400726595117085,2.1645540306404762,-4.263902081169454,-6.074598095717172
5,12,Monthly,21,1,100.0,0.3715277777777778,constant,7.643653604086097,-0.4792684523571827,1.7402089763511233,-4.486066243886259,-6.082053023683257
5,12,Monthly,21,1,100.0,0.3715277777777778,regime,8.086981627026756,-0.06468817544288862,1.6764071772330624,-3.308876799404405,-5.010156905376828
5,12,Monthly,21,2,100.0,0.3659722222222222,constant,7.551005561166241,-0.7521797865002031,2.104134064547512,-4.666630699423903,-6.602272918720051
5,12,Monthly,21,2,100.0,0.3659722222222222,regime,8.012328384200472,-0.17818198985006267,1.991098032152303,-3.6040324642617048,-5.572166862816461
5,12,Monthly,21,3,100.0,0.37569444444444444,constant,7.535235062400988,-0.6283220710679049,1.569639392979644,-3.853490491841937,-4.449696973291596
5,12,Monthly,21,3,100.0,0.37569444444444444,regime,8.180714457638496,0.07402117067903637,1.662825069229908,-3.0617962361822864,-3.5119463425136797
5,12,Monthly,21,4,100.0,0.36875,constant,7.405165885848905,-0.6485577679361227,1.7484113589338157,-3.827233244535504,-5.311108494359352
5,12,Monthly,21,4,100.0,0.36875,regime,8.139308464511751,0.11080816784648378,1.7825480049870515,-3.1391143306809575,-4.283200999646956
5,4,Quarterly,63,0,100.0,0.3104166666666667,constant,7.4488041712737525,-0.5927982534203248,2.9717600337270205,-5.881506260147437,-9.585862302858741
5,4,Quarterly,63,0,100.0,0.3104166666666667,regime,7.850431731604755,-0.09360100870534378,2.8134017108531704,-4.733519138095364,-7.698804758835408
5,4,Quarterly,63,1,100.0,0.2833333333333333,constant,7.534465983769232,-0.22700825967841046,2.9744847648296364,-5.003189145506338,-9.635115810612021
5,4,Quarterly,63,1,100.0,0.2833333333333333,regime,7.754581771644846,0.032587778518872686,2.8735238253788857,-5.220256671732451,-8.090944635195646
5,4,Quarterly,63,2,100.0,0.32083333333333336,constant,7.476697783569489,-1.0743006825081858,3.6135699117691384,-6.503187065560766,-17.139639718283423
5,4,Quarterly,63,2,100.0,0.32083333333333336,regime,7.99620644935831,-0.5699862032148054,3.528920697042157,-6.28388257388205,-14.68854930659393
5,4,Quarterly,63,3,100.0,0.29791666666666666,constant,7.438344902965586,-0.6198566072902008,3.088159884727191,-5.043501183833856,-8.655824761341693
5,4,Quarterly,63,3,100.0,0.29791666666666666,regime,7.777259831466443,-0.22723833092054224,2.930922226910876,-4.359270333123087,-8.34446555551204
5,4,Quarterly,63,4,100.0,0.30416666666666664,constant,7.594793185585152,-0.13696142384062918,2.9783847282600746,-6.5434642544794395,-8.003881081525696
5,4,Quarterly,63,4,100.0,0.30416666666666664,regime,7.7887756102334675,0.03258741426340921,2.9949825763854645,-5.626698755605498,-8.32535224173009
