n_assets,repeat_id,strike,avg_stress_fraction,hedger,runtime_seconds,initial_price,mean_pnl,std_pnl,q05_pnl,q01_pnl
5,1,100.0,0.3675,regime,0.9032874159747735,8.050361767146134,-0.39653462373150583,1.7027240893922577,-3.010579191669665,-4.958099271387641
5,2,100.0,0.3566666666666667,constant,0.2968434999929741,7.530986536365095,-0.8051007438682535,1.8024292427144293,-4.0048744861203,-5.024268929179317
5,2,100.0,0.3566666666666667,regime,0.884114749962464,8.172730116350975,-0.19648007725884017,1.805752698083219,-2.9354587784499055,-4.695240729610131
5,3,100.0,0.3541666666666667,constant,0.31000529101584107,7.582128280165544,-0.8767064813385056,2.0547614624650743,-4.766177656975199,-8.298897367988655
5,3,100.0,0.3541666666666667,regime,0.9032590839779004,8.39479116216534,-0.1510324453637009,2.07182939057938,-4.042834041990529,-7.294699303434479
5,4,100.0,0.3375,constant,0.3482605419703759,7.767002586719336,-0.487628072022054,2.11118396004956,-4.422808632426951,-6.796852426552106
5,4,100.0,0.3375,regime,0.9010865000309423,8.197072478277134,-0.08525522032294897,2.0623225577893693,-3.5096154703985856,-5.48003376821645
6,0,100.0,0.4066666666666667,constant,0.4051432079868391,7.382103096940733,-0.7994920686859318,2.0726894387053125,-3.2557575298525308,-9.67966292597958
6,0,100.0,0.4066666666666667,regime,0.9968320000334643,7.993062038894723,-0.1569428956593676,2.081889508375565,-2.767635538091728,-8.455473477659693
6,1,100.0,0.3458333333333333,constant,0.3996575000346638,7.427505784816973,-1.0088987791782587,2.1818684637514396,-4.637218043203948,-7.7236897676566425
6,1,100.0,0.3458333333333333,regime,1.0890557499951683,7.970003258378344,-0.43752442230526173,2.016612221397714,-4.28127134286038,-6.357678137964297
6,2,100.0,0.33,constant,0.3680578339844942,7.451362056266012,-0.3756480056071205,1.744386229499127,-3.070484310082236,-5.27175498628456
6,2,100.0,0.33,regime,0.9497169160167687,8.107564034784803,0.33680085363543094,1.7567732961298717,-2.2589292465529573,-4.354716031369426
6,3,100.0,0.3591666666666667,constant,0.33761091699125245,7.614990495168285,-0.5668603478807127,1.9579208385930116,-3.119206026303788,-5.554809168205089
6,3,100.0,0.3591666666666667,regime,0.9540475410176441,8.046540885877631,-0.10958555580941173,1.9487414139750598,-2.5897048305884427,-4.710773848491603
6,4,100.0,0.3425,constant,0.3432637079968117,7.535382884791369,-0.4760773342501534,1.9310310018201255,-3.872394824967556,-6.670488628209344
6,4,100.0,0.3425,regime,0.960520250024274,8.174312182503,0.1394048178860757,1.9333225354236891,-3.5013161731544318,-4.903970978188711
8,0,100.0,0.3575,constant,0.43248941597994417,7.142868904005438,-0.7368668910987277,2.040300580632375,-3.895357856010112,-7.853386714948077
8,0,100.0,0.3575,regime,1.04951829201309,7.918602425139105,0.0642808279474087,2.0225419152612103,-3.104699430456389,-5.731304860461368
8,1,100.0,0.35833333333333334,constant,0.5139778750017285,7.185787067505491,-0.9401008900617305,2.186084661470084,-4.848550443590939,-7.745087245958112
8,1,100.0,0.35833333333333334,regime,1.1891376249841414,8.003726037061035,-0.10143863713293327,2.198387994293807,-3.870906483184552,-5.872154985536421
8,2,100.0,0.3516666666666667,constant,0.48450212500756606,7.552442665728096,-0.22877182463605145,1.81083765641645,-4.019092793176828,-5.780876175251404
8,2,100.0,0.3516666666666667,regime,1.1967909579980187,7.959885929697555,0.2439548594602106,1.732681200588749,-2.543513789011782,-4.276417015605044
8,3,100.0,0.37416666666666665,constant,0.4646702909958549,7.37089404174847,-0.49526954224932757,1.966649326801211,-4.32227388007404,-5.936502776996455
8,3,100.0,0.37416666666666665,regime,1.1986313330125995,7.89913159040873,-0.05839143908704894,1.9082290195908564,-3.2956896798797524,-3.7604813790774516
8,4,100.0,0.38416666666666666,constant,0.40665362495929,7.225865715126004,-0.8187386664111768,2.2035835262002355,-3.796874746293296,-8.415430110328757
8,4,100.0,0.38416666666666666,regime,1.1398102919920348,7.907172340452624,-0.10235994163037805,2.2396550303919325,-3.5886379589762383,-6.6975577703227955
10,0,100.0,0.3616666666666667,constant,1.366928250005003,7.283036662663414,-0.6445426218270941,2.6947910860295208,-4.818068395746489,-11.215834482232435
10,0,100.0,0.3616666666666667,regime,4.726334166014567,7.835287551048077,-0.011598745135631949,2.573405990492375,-3.2848063119184556,-7.532434045742907
10,1,100.0,0.37583333333333335,constant,1.191146542027127,7.279262949940986,-0.7566478541727121,2.0474212841692743,-4.510092935720406,-6.440122784565279
10,1,100.0,0.37583333333333335,regime,5.539233917021193,7.908078201177016,-0.14826122645790132,2.032352880759349,-3.6165164608051397,-5.225762048607273
10,2,100.0,0.35833333333333334,constant,1.4850380410207435,7.197263753928317,-0.5110444556560487,1.6178925522161574,-2.964678770040269,-4.6137609913329305
10,2,100.0,0.35833333333333334,regime,5.021367416949943,7.7786411964101,-0.009954911207754739,1.6086244064129631,-2.7378130553399846,-3.200199520037141
10,3,100.0,0.36833333333333335,constant,1.0062807500362396,7.17323033923896,-0.9210640234184524,2.5348964445938433,-6.6737843480706465,-8.51974123125614
10,3,100.0,0.36833333333333335,regime,3.0262773750000633,7.937840459371735,-0.11618415172787268,2.4075833040841355,-4.517934740010441,-7.139411937287583
10,4,100.0,0.3425,constant,1.137341083958745,7.253180746635971,-0.5341667413813633,2.0253747075767867,-4.75243250277927,-6.5271946290114675
10,4,100.0,0.3425,regime,2.5209676250233315,8.076357614332084,0.2871929038221151,1.9915652698180903,-3.0632694178747273,-4.827266259980879
